,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
10843,Resort Hotel,1,95,2017,April,14,8,2,3,3,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,150.0,0,0,Canceled,2017-01-19
6027,Resort Hotel,1,123,2016,May,21,21,2,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient-Party,88.0,0,2,Canceled,2016-03-29
67077,City Hotel,1,108,2017,April,17,28,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,2,Canceled,2017-01-19
101772,City Hotel,0,35,2016,November,47,15,0,3,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.0,0,2,Check-Out,2016-11-18
97846,City Hotel,0,102,2016,September,39,18,2,1,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,80.75,0,0,Check-Out,2016-09-21
79705,City Hotel,0,14,2015,October,44,30,1,2,1,1.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,B,1,No Deposit,83.0,,0,Transient,98.67,0,1,Check-Out,2015-11-02
101177,City Hotel,0,86,2016,November,45,4,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.0,0,2,Check-Out,2016-11-07
87335,City Hotel,0,0,2016,April,16,15,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,0,Check-Out,2016-04-18
96584,City Hotel,0,138,2016,September,36,3,1,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,96.0,0,1,Check-Out,2016-09-05
63189,City Hotel,1,231,2017,February,5,1,2,4,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,100.3,0,0,Canceled,2016-06-16
92204,City Hotel,0,131,2016,June,27,29,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,85.5,0,0,Check-Out,2016-07-02
79305,City Hotel,0,43,2015,October,43,23,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,0,Transient-Party,0.0,0,0,Check-Out,2015-10-24
58116,City Hotel,1,80,2016,October,41,6,0,3,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,119.07,0,0,Canceled,2016-09-30
6827,Resort Hotel,1,308,2016,July,28,4,2,5,1,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,99.9,0,0,Canceled,2016-05-27
58895,City Hotel,1,605,2016,October,43,17,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2016-09-20
21885,Resort Hotel,0,30,2016,March,11,7,1,5,1,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,1,No Deposit,38.0,,0,Transient-Party,48.7,0,0,Check-Out,2016-03-13
60839,City Hotel,1,54,2016,November,48,24,0,1,2,0.0,0,BB,PRT,Complementary,Corporate,0,0,0,A,A,0,No Deposit,,334.0,0,Transient,0.0,0,1,Canceled,2016-11-21
97743,City Hotel,0,253,2016,September,39,19,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,115.2,0,2,Check-Out,2016-09-20
2943,Resort Hotel,1,36,2015,November,45,7,2,6,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,281.0,,0,Transient-Party,40.0,0,0,Canceled,2015-10-10
107798,City Hotel,0,182,2017,March,10,11,2,6,1,0.0,0,BB,IRL,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,330.0,,0,Transient-Party,80.0,0,0,Check-Out,2017-03-19
80064,City Hotel,0,46,2015,November,45,7,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,28.0,,0,Transient,60.0,0,0,Check-Out,2015-11-11
957,Resort Hotel,1,87,2015,August,32,8,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,164.0,0,1,Canceled,2015-07-27
575,Resort Hotel,0,46,2015,July,30,20,1,3,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,111.65,0,0,Check-Out,2015-07-24
66534,City Hotel,1,72,2017,April,16,21,1,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,108.0,0,0,Canceled,2017-02-10
16359,Resort Hotel,0,1,2015,August,35,25,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,153.0,1,0,Check-Out,2015-08-26
4400,Resort Hotel,1,31,2016,March,11,12,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,375.0,,0,Transient-Party,25.0,0,0,Canceled,2016-03-02
63890,City Hotel,1,40,2017,February,8,24,2,2,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,102.0,0,0,Canceled,2017-01-19
23135,Resort Hotel,0,74,2016,April,15,9,2,5,1,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,2,No Deposit,91.0,,0,Transient-Party,36.0,0,0,Check-Out,2016-04-16
44334,City Hotel,1,31,2015,October,40,3,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,102.99,0,2,Canceled,2015-09-08
68258,City Hotel,1,104,2017,May,20,15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,160.0,0,0,Canceled,2017-01-31
60641,City Hotel,1,18,2016,November,47,17,1,3,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,48.5,0,0,Canceled,2016-10-31
108337,City Hotel,0,17,2017,March,12,19,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,20.0,,0,Transient-Party,75.0,0,1,Check-Out,2017-03-26
85964,City Hotel,0,56,2016,March,13,21,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,74.8,0,0,Check-Out,2016-03-25
46147,City Hotel,0,6,2015,December,51,17,0,2,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,97.0,0,0,Check-Out,2015-12-19
30390,Resort Hotel,0,67,2016,November,47,18,1,2,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,411.0,,0,Transient-Party,50.0,0,0,Check-Out,2016-11-21
33916,Resort Hotel,0,7,2017,March,9,2,1,3,1,0.0,0,BB,BEL,Groups,Corporate,0,0,0,D,D,1,No Deposit,,223.0,0,Transient-Party,47.0,0,0,Check-Out,2017-03-06
53027,City Hotel,1,188,2016,June,25,15,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,119.0,,39,Transient,130.0,0,0,Canceled,2016-01-18
93141,City Hotel,0,84,2016,July,29,15,0,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,121.5,0,2,Check-Out,2016-07-17
19769,Resort Hotel,0,3,2016,January,1,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,56.0,0,1,Check-Out,2016-01-03
6522,Resort Hotel,0,225,2016,June,25,14,2,9,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Transient,88.9,0,1,Check-Out,2016-06-25
28577,Resort Hotel,0,94,2016,October,41,2,2,2,1,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Transient,39.0,0,1,Check-Out,2016-10-06
66327,City Hotel,1,57,2017,April,16,17,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Canceled,2017-03-05
11321,Resort Hotel,1,83,2017,May,18,3,0,4,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,147.0,0,0,Canceled,2017-02-09
25601,Resort Hotel,0,170,2016,July,27,2,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,242.0,,0,Transient,119.1,1,2,Check-Out,2016-07-03
84964,City Hotel,0,88,2016,March,10,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,60.0,0,1,Check-Out,2016-03-07
76078,City Hotel,1,364,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
95760,City Hotel,0,115,2016,August,34,20,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,72.25,0,0,Check-Out,2016-08-24
91675,City Hotel,0,53,2016,June,26,20,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.9,0,2,Check-Out,2016-06-24
51212,City Hotel,1,451,2016,May,21,16,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2016-03-14
71106,City Hotel,1,368,2017,June,26,28,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2017-06-06
106298,City Hotel,0,48,2017,February,8,22,0,2,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,65.0,0,1,Check-Out,2017-02-24
112192,City Hotel,0,13,2017,May,20,18,0,3,2,0.0,1,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,7.0,,0,Transient,129.2,0,1,Check-Out,2017-05-21
96879,City Hotel,0,88,2016,September,36,3,2,5,1,0.0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,86.0,,0,Transient-Party,85.0,0,1,Check-Out,2016-09-10
88372,City Hotel,0,21,2016,May,19,4,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,165.0,1,1,Check-Out,2016-05-05
31081,Resort Hotel,0,7,2016,December,51,13,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,45.0,1,0,Check-Out,2016-12-14
53784,City Hotel,1,358,2016,June,27,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
62526,City Hotel,1,38,2017,January,2,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,67.0,0,Transient,75.0,0,0,Canceled,2016-12-07
111134,City Hotel,0,5,2017,May,18,4,0,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,136.8,0,1,Check-Out,2017-05-07
1285,Resort Hotel,0,102,2015,August,34,22,2,6,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,218.5,1,1,Check-Out,2015-08-30
118256,City Hotel,0,173,2017,August,33,14,1,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,112.5,0,1,Check-Out,2017-08-17
79423,City Hotel,1,137,2016,January,5,27,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,45,Transient,70.0,0,0,Canceled,2015-10-27
100085,City Hotel,0,192,2016,October,43,21,0,2,3,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,3,No Deposit,29.0,,0,Transient-Party,123.0,0,0,Check-Out,2016-10-23
22080,Resort Hotel,0,6,2016,March,12,15,0,2,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,,0,Transient,30.0,0,0,Check-Out,2016-03-17
86033,City Hotel,0,5,2016,March,13,23,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,133.0,0,0,Check-Out,2016-03-26
115896,City Hotel,0,21,2017,July,28,12,0,1,1,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,1,Check-Out,2017-07-13
72767,City Hotel,1,146,2017,August,31,5,2,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.33,0,0,Canceled,2017-04-13
45277,City Hotel,0,69,2015,October,44,25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,58,Transient-Party,85.67,0,0,Check-Out,2015-10-28
56171,City Hotel,1,69,2016,August,36,31,0,3,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.19,0,0,Canceled,2016-07-08
4296,Resort Hotel,1,219,2016,March,10,2,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,310.0,,0,Transient,52.0,0,0,Canceled,2015-11-20
32104,Resort Hotel,0,0,2017,May,19,13,0,1,2,0.0,0,HB,PRT,Online TA,TA/TO,1,0,1,E,E,0,No Deposit,241.0,,0,Transient,117.6,0,1,Check-Out,2017-05-14
119128,City Hotel,0,209,2017,August,34,26,2,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,162.0,0,0,Check-Out,2017-08-30
112494,City Hotel,0,20,2017,May,21,24,0,1,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,87.0,,0,Transient-Party,120.0,0,0,Check-Out,2017-05-25
18374,Resort Hotel,0,0,2015,November,47,17,0,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,38.0,0,0,Check-Out,2015-11-18
72881,City Hotel,1,201,2017,August,32,8,2,8,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,166.5,0,0,Canceled,2017-01-20
92366,City Hotel,0,10,2016,July,28,3,2,0,2,2.0,0,BB,PRT,Complementary,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,35.0,0,3,Check-Out,2016-07-05
56417,City Hotel,1,45,2016,September,37,5,1,2,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,145.2,0,1,Canceled,2016-08-13
130,Resort Hotel,0,100,2015,July,27,4,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient-Party,73.8,0,1,Check-Out,2015-07-06
36940,Resort Hotel,0,135,2017,May,22,30,0,3,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,94.97,0,2,Check-Out,2017-06-02
40981,City Hotel,1,39,2015,August,33,10,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-08-04
105942,City Hotel,0,18,2017,February,7,14,0,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,0,Check-Out,2017-02-18
117024,City Hotel,0,244,2017,July,30,27,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,120.6,0,1,Check-Out,2017-07-29
117239,City Hotel,0,0,2017,July,31,31,1,0,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,152.0,,0,Transient,69.7,0,0,Check-Out,2017-08-01
39137,Resort Hotel,0,165,2017,July,30,28,4,8,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient-Party,165.33,0,0,Check-Out,2017-08-09
2326,Resort Hotel,0,9,2015,October,41,9,1,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,63.33,0,1,Check-Out,2015-10-12
32211,Resort Hotel,0,40,2017,January,3,16,1,2,1,0.0,0,Undefined,IDN,Groups,Direct,0,0,0,A,D,2,No Deposit,,,0,Transient-Party,55.0,0,0,Check-Out,2017-01-19
67367,City Hotel,1,144,2017,May,18,2,0,4,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,2,Canceled,2016-12-10
11871,Resort Hotel,1,49,2017,June,22,2,0,2,2,1.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,187.0,0,1,Canceled,2017-04-21
98980,City Hotel,0,29,2016,October,41,5,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,152.0,0,2,Check-Out,2016-10-07
80077,City Hotel,0,0,2016,January,5,30,0,1,2,0.0,0,BB,PRT,Complementary,Direct,1,0,2,A,A,0,No Deposit,,45.0,0,Transient,0.0,1,0,Check-Out,2016-01-31
86531,City Hotel,0,63,2016,April,15,3,2,0,2,1.0,0,BB,BGR,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,,0,Transient,117.0,0,0,Check-Out,2016-04-05
41653,City Hotel,0,120,2015,August,34,20,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13.0,,0,Transient-Party,88.38,0,2,Check-Out,2015-08-27
83043,City Hotel,0,1,2016,January,3,13,0,4,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Transient-Party,180.0,1,1,Check-Out,2016-01-17
81780,City Hotel,1,113,2016,February,9,25,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,44,Transient,75.0,0,0,Canceled,2015-12-18
13104,Resort Hotel,1,167,2017,July,31,31,1,5,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,220.0,0,2,Canceled,2017-07-18
5792,Resort Hotel,1,115,2016,May,20,14,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,73.0,0,1,Canceled,2016-02-12
34518,Resort Hotel,0,241,2017,March,12,21,2,5,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,39.6,0,0,Check-Out,2017-03-28
110257,City Hotel,0,0,2017,April,17,23,2,0,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,90.0,0,1,Check-Out,2017-04-25
83481,City Hotel,0,0,2016,February,6,3,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.0,0,0,Check-Out,2016-02-04
58722,City Hotel,1,163,2016,October,42,15,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,34.0,,0,Transient,115.0,0,0,Canceled,2016-09-27
105570,City Hotel,0,24,2017,February,6,5,2,5,1,0.0,0,BB,MAR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,,407.0,0,Transient-Party,75.0,0,0,Check-Out,2017-02-12
63716,City Hotel,1,45,2017,February,7,18,2,1,2,2.0,0,BB,NLD,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,125.4,0,0,Canceled,2017-01-05
65264,City Hotel,1,81,2017,March,13,30,0,3,2,0.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,9.0,,0,Transient,85.8,0,1,Canceled,2017-02-02
7177,Resort Hotel,1,145,2016,July,31,25,1,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,195.33,0,0,Canceled,2016-03-03
99619,City Hotel,0,335,2016,October,42,13,0,3,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,80.0,0,0,Check-Out,2016-10-16
72994,City Hotel,1,260,2017,August,32,11,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Canceled,2016-11-30
41845,City Hotel,1,50,2015,August,35,25,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-08-06
50112,City Hotel,1,68,2016,April,17,23,2,3,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.65,0,0,Canceled,2016-04-07
1597,Resort Hotel,1,54,2015,September,36,5,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,131.0,0,2,Canceled,2015-07-14
62168,City Hotel,1,40,2017,January,1,3,0,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,88.0,0,0,Canceled,2016-11-25
100400,City Hotel,0,33,2016,October,44,26,0,2,1,0.0,0,SC,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,109.0,0,0,Check-Out,2016-10-28
35960,Resort Hotel,0,96,2017,May,18,4,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,92.0,1,1,Check-Out,2017-05-06
100726,City Hotel,0,8,2016,October,44,28,2,2,1,0.0,0,BB,BEL,Aviation,Corporate,0,0,0,D,E,1,No Deposit,,153.0,0,Transient,94.0,0,0,Check-Out,2016-11-01
69231,City Hotel,1,150,2017,May,22,28,2,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,155.0,,0,Transient,140.0,0,0,Canceled,2016-12-29
45559,City Hotel,0,123,2015,November,45,6,1,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,0,Check-Out,2015-11-09
49434,City Hotel,1,85,2016,April,16,13,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,0,Canceled,2016-01-27
66190,City Hotel,1,87,2017,April,15,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,95.0,0,0,Canceled,2017-01-18
85830,City Hotel,0,81,2016,March,12,18,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,16.0,,0,Transient,59.5,0,0,Check-Out,2016-03-22
80959,City Hotel,0,4,2015,November,48,27,1,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,55.0,0,0,Check-Out,2015-11-30
97490,City Hotel,0,286,2016,September,38,16,0,2,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,3.0,,44,Transient-Party,117.0,0,0,Check-Out,2016-09-18
5228,Resort Hotel,1,181,2016,April,17,22,1,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,44.1,0,1,Canceled,2015-12-19
43821,City Hotel,0,56,2015,September,39,25,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,44.0,,0,Transient-Party,185.0,0,0,Check-Out,2015-09-29
108525,City Hotel,0,158,2017,March,13,27,1,1,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,95.0,0,1,Check-Out,2017-03-29
63266,City Hotel,1,18,2017,February,5,4,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,90.86,0,0,Canceled,2017-01-17
94855,City Hotel,0,189,2016,August,33,9,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,1,Check-Out,2016-08-11
16130,Resort Hotel,0,108,2015,August,33,11,0,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,108.92,0,3,Check-Out,2015-08-16
52839,City Hotel,1,9,2016,June,25,12,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,123.33,0,0,Canceled,2016-06-06
82493,City Hotel,0,94,2015,December,53,27,2,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Transient,60.0,0,0,Check-Out,2016-01-01
41991,City Hotel,0,145,2015,August,35,29,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Check-Out,2015-09-01
30508,Resort Hotel,0,43,2016,November,47,18,2,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,C,1,No Deposit,250.0,,0,Transient,33.26,0,0,Check-Out,2016-11-25
13229,Resort Hotel,1,328,2017,August,31,5,2,4,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,,0,Transient,139.54,0,0,Canceled,2017-06-27
38073,Resort Hotel,0,178,2017,July,27,4,0,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,D,G,0,No Deposit,250.0,,0,Transient,115.4,0,0,Check-Out,2017-07-09
16110,Resort Hotel,0,0,2015,August,33,9,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,129.0,0,0,Check-Out,2015-08-15
3530,Resort Hotel,0,131,2015,December,52,22,2,5,2,0.0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,314.0,,0,Transient-Party,64.14,0,1,Check-Out,2015-12-29
